dep_code,revenu_median_uc,taux_pauvrete,interdecile_d9d1,source_url,source_millesime
01,27990.0,12.2,3.7,https://www.insee.fr/fr/statistiques/8984752,2023
02,23360.0,19.4,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
03,24430.0,16.4,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
04,24240.0,18.6,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
05,25060.0,14.3,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
06,26380.0,17.7,4.0,https://www.insee.fr/fr/statistiques/8984752,2023
07,24820.0,15.6,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
08,23500.0,19.9,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
09,23360.0,20.0,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
10,24130.0,18.1,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
11,23060.0,21.2,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
12,24780.0,14.5,2.9,https://www.insee.fr/fr/statistiques/8984752,2023
13,25610.0,20.3,4.0,https://www.insee.fr/fr/statistiques/8984752,2023
14,25600.0,13.5,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
15,24820.0,13.7,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
16,24850.0,15.4,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
17,25710.0,13.1,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
18,24730.0,15.9,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
19,24910.0,14.4,2.9,https://www.insee.fr/fr/statistiques/8984752,2023
21,26560.0,13.0,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
22,25590.0,12.2,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
23,23210.0,19.5,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
24,24150.0,17.1,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
25,27190.0,13.4,3.5,https://www.insee.fr/fr/statistiques/8984752,2023
26,25210.0,16.0,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
27,25520.0,13.8,2.9,https://www.insee.fr/fr/statistiques/8984752,2023
28,25980.0,13.3,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
29,26210.0,11.4,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
2A,26050.0,17.9,3.8,https://www.insee.fr/fr/statistiques/8984752,2023
2B,24200.0,21.8,3.7,https://www.insee.fr/fr/statistiques/8984752,2023
30,23930.0,21.0,3.5,https://www.insee.fr/fr/statistiques/8984752,2023
31,27040.0,15.9,3.6,https://www.insee.fr/fr/statistiques/8984752,2023
32,24770.0,15.6,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
33,26820.0,14.2,3.4,https://www.insee.fr/fr/statistiques/8984752,2023
34,24280.0,21.0,3.7,https://www.insee.fr/fr/statistiques/8984752,2023
35,26670.0,11.7,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
36,24020.0,15.8,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
37,25930.0,14.1,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
38,27290.0,13.0,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
39,26090.0,12.3,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
40,25650.0,12.1,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
41,25240.0,14.0,2.9,https://www.insee.fr/fr/statistiques/8984752,2023
42,24800.0,16.8,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
43,25140.0,12.4,2.7,https://www.insee.fr/fr/statistiques/8984752,2023
44,27150.0,11.5,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
45,25800.0,15.0,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
46,24740.0,15.8,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
47,23730.0,18.5,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
48,24270.0,15.3,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
49,25550.0,11.8,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
50,25430.0,12.0,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
51,25700.0,15.8,3.4,https://www.insee.fr/fr/statistiques/8984752,2023
52,23980.0,16.0,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
53,25140.0,11.6,2.7,https://www.insee.fr/fr/statistiques/8984752,2023
54,25910.0,16.1,3.4,https://www.insee.fr/fr/statistiques/8984752,2023
55,24740.0,15.0,2.9,https://www.insee.fr/fr/statistiques/8984752,2023
56,26250.0,11.3,2.9,https://www.insee.fr/fr/statistiques/8984752,2023
57,26030.0,16.6,3.6,https://www.insee.fr/fr/statistiques/8984752,2023
58,24010.0,17.3,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
59,23810.0,20.7,3.5,https://www.insee.fr/fr/statistiques/8984752,2023
60,25970.0,14.5,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
61,24110.0,16.3,2.9,https://www.insee.fr/fr/statistiques/8984752,2023
62,23260.0,19.1,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
63,26040.0,14.8,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
64,26300.0,13.3,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
65,24320.0,16.6,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
66,23080.0,22.4,3.4,https://www.insee.fr/fr/statistiques/8984752,2023
67,26890.0,15.0,3.5,https://www.insee.fr/fr/statistiques/8984752,2023
68,27620.0,14.1,3.8,https://www.insee.fr/fr/statistiques/8984752,2023
69,27500.0,16.3,3.9,https://www.insee.fr/fr/statistiques/8984752,2023
70,24750.0,13.8,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
71,24970.0,14.1,2.9,https://www.insee.fr/fr/statistiques/8984752,2023
72,24990.0,14.1,2.9,https://www.insee.fr/fr/statistiques/8984752,2023
73,27910.0,11.1,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
74,32180.0,10.2,4.5,https://www.insee.fr/fr/statistiques/8984752,2023
75,33650.0,16.8,6.7,https://www.insee.fr/fr/statistiques/8984752,2023
76,24940.0,16.6,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
77,27480.0,13.6,3.3,https://www.insee.fr/fr/statistiques/8984752,2023
78,31520.0,11.6,4.1,https://www.insee.fr/fr/statistiques/8984752,2023
79,25080.0,12.7,2.8,https://www.insee.fr/fr/statistiques/8984752,2023
80,24200.0,17.3,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
81,24420.0,16.4,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
82,24350.0,17.0,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
83,25940.0,16.8,3.5,https://www.insee.fr/fr/statistiques/8984752,2023
84,23840.0,21.4,3.5,https://www.insee.fr/fr/statistiques/8984752,2023
85,25850.0,9.2,2.5,https://www.insee.fr/fr/statistiques/8984752,2023
86,24940.0,15.5,3.1,https://www.insee.fr/fr/statistiques/8984752,2023
87,24740.0,17.1,3.2,https://www.insee.fr/fr/statistiques/8984752,2023
88,24320.0,15.8,2.9,https://www.insee.fr/fr/statistiques/8984752,2023
89,24590.0,16.0,3.0,https://www.insee.fr/fr/statistiques/8984752,2023
90,25910.0,17.1,3.6,https://www.insee.fr/fr/statistiques/8984752,2023
91,27940.0,15.4,3.7,https://www.insee.fr/fr/statistiques/8984752,2023
92,33790.0,13.5,5.2,https://www.insee.fr/fr/statistiques/8984752,2023
93,21250.0,29.5,4.1,https://www.insee.fr/fr/statistiques/8984752,2023
94,27250.0,18.4,4.4,https://www.insee.fr/fr/statistiques/8984752,2023
95,25890.0,19.4,3.9,https://www.insee.fr/fr/statistiques/8984752,2023
