dep_code,part_locataires,part_hlm,taux_surpeuplement,part_familles_mono,part_menages_1pers,part_25_54,part_65plus
01,35.59,14.42,4.7,8.94,33.44,38.96,18.71
02,36.5,15.48,4.3,10.48,35.69,35.7,21.56
03,32.7,10.14,4.13,8.2,42.44,32.62,28.5
04,36.88,8.28,5.55,10.06,40.55,33.55,27.28
05,34.46,9.94,5.21,8.73,41.12,35.08,26.06
06,41.06,9.62,18.81,10.59,41.74,36.08,24.97
07,30.52,7.99,3.64,8.83,37.08,34.32,26.0
08,37.74,17.33,2.84,9.81,36.76,35.52,22.65
09,30.26,4.45,3.87,10.35,40.33,33.97,27.35
10,40.07,19.62,6.66,10.43,39.69,35.3,22.5
11,34.94,9.06,4.83,10.59,39.09,33.6,27.34
12,27.78,5.26,3.58,7.4,39.32,33.54,28.19
13,46.69,15.09,12.79,11.91,39.67,37.5,21.0
14,40.92,16.37,7.21,8.77,39.34,35.14,22.93
15,26.51,7.56,3.41,7.45,40.08,32.85,29.48
16,31.22,8.62,3.72,8.91,38.69,34.14,26.6
17,32.29,8.06,4.98,8.37,38.75,32.87,29.19
18,30.52,11.75,4.13,8.82,40.14,33.74,26.67
19,28.78,6.97,3.59,8.12,40.65,33.18,28.5
21,37.87,12.28,8.75,8.22,42.44,36.13,21.94
22,27.33,7.48,3.34,8.25,38.87,32.93,27.16
23,23.8,7.66,2.58,8.21,42.84,31.15,31.46
24,28.48,6.22,3.49,8.71,38.37,32.11,30.14
25,38.34,12.59,6.42,8.98,39.81,36.98,20.32
26,35.65,10.87,4.68,9.32,37.51,36.03,22.87
27,32.96,14.35,5.12,9.84,33.2,37.08,20.42
28,32.12,14.98,5.19,9.26,35.11,36.42,21.39
29,29.57,10.0,4.0,7.99,41.66,35.06,24.36
2A,38.16,7.39,6.97,11.29,32.08,38.06,24.56
2B,40.51,8.71,7.96,12.99,34.99,37.25,24.65
30,37.83,9.92,6.52,10.66,37.54,34.73,24.16
31,46.6,11.37,10.93,9.6,42.03,40.18,17.04
32,28.22,5.67,3.31,8.85,37.5,32.7,28.76
33,43.04,12.66,8.96,9.49,39.51,38.93,19.88
34,44.59,10.38,11.55,10.36,41.69,36.27,22.48
35,39.16,12.88,6.76,7.86,38.97,38.07,18.57
36,29.42,13.32,3.4,8.71,41.17,32.3,29.24
37,39.76,16.16,7.63,8.32,40.63,35.76,22.56
38,36.86,13.72,7.27,9.24,36.23,37.62,19.2
39,31.64,10.2,3.52,8.38,39.09,35.14,24.7
40,31.15,6.5,3.22,8.77,36.5,35.18,26.28
41,29.67,11.84,3.92,8.26,37.7,34.09,26.0
42,39.61,14.49,5.77,8.67,38.92,34.91,23.07
43,27.38,6.29,2.79,7.6,38.13,34.34,25.46
44,37.76,12.2,7.32,8.2,38.82,38.7,19.02
45,35.96,14.22,6.97,9.58,37.24,36.63,20.86
46,26.93,5.49,3.87,7.93,39.58,31.63,31.27
47,32.68,6.18,4.39,9.2,38.36,33.24,27.48
48,30.87,7.02,5.28,7.4,42.15,33.97,26.68
49,38.49,16.18,6.03,7.5,36.98,35.74,20.71
50,34.72,14.88,2.93,7.46,38.42,33.98,26.0
51,45.71,23.47,6.94,9.27,40.45,36.64,20.68
52,32.97,16.0,3.39,8.51,40.33,33.9,26.04
53,31.84,10.04,3.52,6.82,36.23,34.68,23.15
54,40.82,13.28,7.9,9.59,40.75,36.9,20.29
55,30.0,9.92,2.99,8.78,37.86,34.76,24.53
56,30.58,9.37,4.29,7.69,39.51,34.03,25.97
57,37.55,12.85,5.2,9.77,36.13,38.08,20.61
58,29.57,10.0,3.68,8.21,42.96,31.32,30.62
59,44.3,20.8,7.29,11.27,37.19,37.72,17.88
60,36.82,17.74,7.5,10.97,32.36,38.37,17.9
61,34.03,14.29,3.96,7.89,39.56,32.52,27.25
62,40.21,19.81,3.98,10.73,33.23,36.74,19.91
63,36.04,11.95,7.07,8.61,42.06,36.16,22.45
64,36.77,10.44,5.83,8.95,41.29,35.84,25.08
65,32.99,9.9,4.42,9.45,41.7,33.29,27.9
66,37.11,9.42,6.4,11.8,40.07,33.56,27.04
67,41.85,11.55,9.08,9.14,36.28,38.41,19.32
68,37.53,12.8,5.83,9.36,35.45,37.79,20.96
69,49.68,17.16,13.12,9.33,41.11,39.16,17.37
70,29.27,9.68,2.79,8.46,36.9,35.02,24.33
71,33.63,13.06,4.23,7.9,39.38,33.57,27.01
72,34.09,13.62,4.46,8.73,36.9,34.85,22.97
73,36.78,14.29,7.39,8.87,39.08,37.63,21.58
74,37.4,11.92,8.26,9.24,36.75,41.72,17.55
75,61.87,18.01,31.36,8.56,53.11,44.46,17.5
76,45.66,22.24,7.27,9.97,39.12,36.24,20.91
77,36.62,15.79,12.17,12.27,31.55,39.89,15.3
78,39.62,18.96,12.82,10.74,34.04,39.28,16.72
79,29.27,8.16,3.4,7.69,35.88,35.19,24.38
80,38.21,14.38,7.05,9.95,37.06,36.17,21.14
81,30.96,6.86,4.26,9.33,37.28,33.94,26.29
82,30.86,6.38,4.33,10.1,34.09,35.84,23.05
83,38.29,8.93,8.9,9.93,38.65,34.44,26.99
84,40.89,11.68,6.99,10.33,37.56,35.5,23.29
85,26.6,6.77,3.36,6.57,34.21,34.24,25.86
86,36.62,10.46,7.86,8.43,40.89,34.6,23.04
87,35.52,11.81,6.57,8.17,43.53,34.03,25.84
88,33.68,12.32,3.19,9.3,39.31,34.29,25.56
89,30.32,11.92,4.63,9.25,39.21,34.49,25.49
90,42.3,17.64,5.68,10.42,39.89,36.84,20.66
91,40.56,19.4,14.3,12.27,33.53,39.66,15.55
92,54.52,24.26,21.62,10.89,41.53,43.02,15.39
93,60.24,31.39,27.15,15.37,34.71,41.89,12.4
94,53.73,26.41,22.2,12.94,39.37,41.28,15.26
95,43.1,22.61,16.43,13.26,31.82,40.04,14.14
